pastry	n. 油酥面团， 酥皮糕点
consecutive	adj. 连续的， 连贯的
probe	v. 探索，查究，调查；用探针探查，探测 n. 探针， 探测器； 探索， 调查
assimilation	n. 同化， 同化作用； 消化
groan	vi. 呻吟，抱怨；发出呻吟般的声音 n. 呻吟， 抱怨； 呻吟般的声音
industrial	adj. 工业的， 产业的
conduct	n. 举止，行为；指导；管理，实施	[kən'dʌkt] vt. 进行； 管理， 指挥， 引导； 传输， 传导
velvet	n. 天鹅绒， 丝绒
quantitative	adj. 量的， 定量的
stable	adj. 稳定的，不变的；沉稳的，持重的 n. 厩， 马厩， 牛棚
reunion	n. 重聚， 团聚； 聚会， 联谊活动
fantastic	adj. 极好的， 极出色的； 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的
drainage	n. 排水系统， 下水道； 排水， 放水
respond	vi. 回答， 答复； 作出反应， 响应
incident	n. 发生的事， 事件
lame	adj. 跛的， 瘸的； 站不住脚的， 差劲的； 蹩脚的
tub	n. 桶， 塑料杯， 纸杯； 盆， 洗澡盆， 浴缸
cluster	vi. 群集，丛生 n. 串，簇；群，组 vt. 使群集， 集中
prey	vi. 捕食； 折磨， 使烦恼 n. 被捕食的动物，捕获物；受害者
apparatus	n. 器械， 器具， 仪器； 机构， 组织
lieutenant	n. 陆军中尉； 海军上尉
tug	v. 用力拖 n. 拖船； 猛拉， 牵引
expedition	n. 旅行， 远征； 远征队， 探险队， 考察队； 迅速， 动作敏捷
